State, Facility Name, Facility ID (ORISPL), Account Number, Account Name, Program, Compliance Year, Compliance Year Allowances Allocated, Total Allowances Held in Account at Trading Deadline, Emissions (Tons), Other Deductions, Total Allowances Deducted, Allowances Carried Over to Next Year, Excess Emissions, Owner, Operator, Representative (Primary), Representative (Secondary)
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2000","2079","1","0",,"0","1",,,,"Robert T Parnell (1436)","David Bosack (1435)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2001","2079","0","0",,"0","0",,,,"Robert T Parnell (1436)","David Bosack (1435) (Ended Dec 10, 2001)<br>Robert Gilmore (2462) (Started Dec 11, 2001)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2002","2079","1","0",,"0","1",,,,"Robert T Parnell (1436)","Robert Gilmore (2462) (Ended Dec 09, 2002)<br>Christine T Neely (1903) (Started Dec 10, 2002)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2003","2079","2080","0",,"0","2080",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2004","2079","0","0",,"0","0",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB1","Bridgeport Harbor Station","ARP","2005","2079","0","0",,"0","0",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2000","4727","530","474",,"474","56",,,,"Robert T Parnell (1436)","David Bosack (1435)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2001","4727","500","435",,"435","65",,,,"Robert T Parnell (1436)","David Bosack (1435) (Ended Dec 10, 2001)<br>Robert Gilmore (2462) (Started Dec 11, 2001)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2002","4727","2299","67",,"67","2232",,,,"Robert T Parnell (1436)","Robert Gilmore (2462) (Ended Dec 09, 2002)<br>Christine T Neely (1903) (Started Dec 10, 2002)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2003","4727","6959","55",,"55","6904",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2004","4727","102","77",,"77","25",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB2","Bridgeport Harbor Station","ARP","2005","4727","69","66",,"66","3",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2000","11481","9226","8747",,"8747","479",,,"United Illuminating Company (Operator) (Ended Dec 31, 2000)","Robert T Parnell (1436)","David Bosack (1435)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2001","11481","11429","10429",,"10429","1000",,,"Wisvest - Connecticut, LLC (Operator) (Ended Dec 31, 2001)","Robert T Parnell (1436)","David Bosack (1435) (Ended Dec 10, 2001)<br>Robert Gilmore (2462) (Started Dec 11, 2001)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2002","11481","4434","4024",,"4024","410",,,"PSEG (Operator) (Ended Dec 31, 2002)","Robert T Parnell (1436)","Robert Gilmore (2462) (Ended Dec 09, 2002)<br>Christine T Neely (1903) (Started Dec 10, 2002)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2003","11481","11907","3356",,"3356","8551",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2004","11481","2810","2790",,"2790","20",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","00056800BHB3","Bridgeport Harbor Station","ARP","2005","11481","2765","2765",,"2765","0",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2006","18287","2892","2885",,"2885","7",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436)","Christine T Neely (1903)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2007","18287","6050","2744",,"2744","3306",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Robert T Parnell (1436) (Ended Jun 27, 2007)<br>Michael Cilinski (603647) (Started Jun 27, 2007)","Christine T Neely (1903) (Ended Jun 27, 2007)<br>Mark F Strickland (603622) (Started Jun 27, 2007)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2008","18287","21593","2974",,"2974","18619",,"PSEG (Owner/Operator)","PSEG (Owner/Operator)","Michael Cilinski (603647) (Ended Mar 03, 2008)<br>Robert T Parnell (1436) (Started Mar 03, 2008) (Ended Jul 28, 2008)<br>Karl Wintermeyer (604377) (Started Jul 28, 2008)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2009","18814","36906","1273",,"1273","35633",,"PSEG (Owner/Operator)<br>PSEG Power Connecticut, LLC (Owner)","PSEG (Owner/Operator)<br>PSEG Power Connecticut, LLC (Operator)","Karl Wintermeyer (604377) (Ended Oct 14, 2009)<br>Michael Stagliola (604005) (Started Oct 14, 2009)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2010","18318","25175","1273",,"1273","23902",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Michael Stagliola (604005)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2011","18318","40153","514",,"514","39639",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Michael Stagliola (604005)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2012","18318","53812","145",,"145","53667",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Michael Stagliola (604005)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2013","18318","17536","782",,"782","16754",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Michael Stagliola (604005) (Ended Mar 13, 2013)<br>Thomas Copus (607042) (Started Mar 13, 2013)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2014","18318","34150","922",,"922","33228",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Thomas Copus (607042)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2015","18318","50838","707",,"707","50131",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Thomas Copus (607042) (Ended Jul 07, 2015)<br>Michael Stagliola (604005) (Started Jul 07, 2015)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2016","18318","68210","239",,"239","67971",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Michael Stagliola (604005) (Ended May 03, 2016)<br>Karl Wintermeyer (604377) (Started May 03, 2016)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2017","18318","86060","229",,"229","85831",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Karl Wintermeyer (604377) (Ended Jun 20, 2017)<br>Vincent Fiumidinisi (608753) (Started Jun 20, 2017)","Mark F Strickland (603622)",
"CT","Bridgeport Harbor Station","568","000568FACLTY","Bridgeport Harbor Station","ARP","2018","18318","103800","349",,"349","103451",,"PSEG Power Connecticut, LLC (Owner)","PSEG Power Connecticut, LLC (Operator)","Vincent Fiumidinisi (608753)","Mark F Strickland (603622)",
